manager,stock,period,shares,percentage_of_portfolio,percentage_change_to_portfolio,reported_price,direction,distance
AKO Capital,MAR - Marriott Int'l.,2021   Q4,"664,804",1.07,0.22,$165.24,Reduce,16.80%
AKO Capital,MAR - Marriott Int'l.,2021   Q3,"799,021",1.23,0.08,$148.09,Reduce,6.06%
AKO Capital,MAR - Marriott Int'l.,2021   Q2,"850,598",1.31,0.14,$136.52,Reduce,9.44%
AKO Capital,MAR - Marriott Int'l.,2021   Q1,"939,272",1.72,1.84,$148.11,Reduce,51.75%
AKO Capital,MAR - Marriott Int'l.,2020   Q4,"1,946,651",3.31,0.33,$131.92,Reduce,9.14%
AKO Capital,MAR - Marriott Int'l.,2020   Q3,"2,142,372",3.11,0.20,$92.58,Add,6.93%
AKO Capital,MAR - Marriott Int'l.,2020   Q2,"2,003,570",3.00,0.82,$85.73,Add,37.33%
AKO Capital,MAR - Marriott Int'l.,2020   Q1,"1,458,967",2.30,2.30,$74.81,Buy,undefined
AKO Capital,MAR - Marriott Int'l.,2019   Q4,0,0,3.80,,Sell,100.00%
AKO Capital,MAR - Marriott Int'l.,2019   Q3,"1,253,498",3.80,0.05,$124.37,Add,1.42%
AKO Capital,MAR - Marriott Int'l.,2019   Q2,"1,235,952",4.41,0.08,$140.29,Add,1.83%
AKO Capital,MAR - Marriott Int'l.,2019   Q1,"1,213,779",4.58,,$125.09,,undefined
AKO Capital,ADBE - Adobe Inc.,2023   Q1,"216,689",1.27,2.59,$385.37,Reduce,67.11%
AKO Capital,ADBE - Adobe Inc.,2022   Q4,"658,751",3.58,0.71,$336.53,Reduce,16.59%
AKO Capital,ADBE - Adobe Inc.,2022   Q3,"789,798",3.59,0.11,$275.20,Add,3.29%
AKO Capital,ADBE - Adobe Inc.,2022   Q2,"764,612",3.92,0.15,$366.06,Add,3.94%
AKO Capital,ADBE - Adobe Inc.,2022   Q1,"735,652",3.62,1.78,$455.62,Add,96.43%
AKO Capital,ADBE - Adobe Inc.,2021   Q4,"374,518",2.07,0.08,$567.06,Add,4.09%
AKO Capital,ADBE - Adobe Inc.,2021   Q3,"359,812",2.15,0.67,$575.72,Reduce,23.85%
AKO Capital,ADBE - Adobe Inc.,2021   Q2,"472,488",3.12,1.11,$585.64,Reduce,26.23%
AKO Capital,ADBE - Adobe Inc.,2021   Q1,"640,494",3.76,1.05,$475.37,Add,38.95%
AKO Capital,ADBE - Adobe Inc.,2020   Q4,"460,964",2.97,0.07,$500.12,Add,2.58%
AKO Capital,ADBE - Adobe Inc.,2020   Q3,"449,390",3.46,0.04,$490.43,Reduce,1.25%
AKO Capital,ADBE - Adobe Inc.,2020   Q2,"455,068",3.46,0.99,$435.31,Add,40.23%
AKO Capital,ADBE - Adobe Inc.,2020   Q1,"324,517",2.18,2.18,$318.24,Buy,undefined
AKO Capital,URI - United Rentals,2023   Q1,"200,433",1.21,1.21,$395.76,Buy,undefined
AKO Capital,ZTS - Zoetis Inc.,2023   Q1,"456,040",1.16,0.24,$166.44,Add,25.69%
AKO Capital,ZTS - Zoetis Inc.,2022   Q4,"362,822",0.86,2.06,$146.55,Reduce,70.51%
AKO Capital,ZTS - Zoetis Inc.,2022   Q3,"1,230,228",3.01,0.57,$148.29,Reduce,15.81%
AKO Capital,ZTS - Zoetis Inc.,2022   Q2,"1,461,209",3.52,0.67,$171.89,Reduce,15.96%
AKO Capital,ZTS - Zoetis Inc.,2022   Q1,"1,738,652",3.54,0.11,$188.59,Reduce,2.98%
AKO Capital,ZTS - Zoetis Inc.,2021   Q4,"1,791,968",4.26,0.87,$244.03,Reduce,16.90%
AKO Capital,ZTS - Zoetis Inc.,2021   Q3,"2,156,300",4.34,0.56,$194.14,Reduce,11.34%
AKO Capital,ZTS - Zoetis Inc.,2021   Q2,"2,432,203",5.11,1.77,$186.36,Add,52.87%
AKO Capital,ZTS - Zoetis Inc.,2021   Q1,"1,590,979",3.10,0.00,$157.48,Add,0.08%
AKO Capital,ZTS - Zoetis Inc.,2020   Q4,"1,589,663",3.39,0.09,$165.50,Add,2.59%
AKO Capital,ZTS - Zoetis Inc.,2020   Q3,"1,549,534",4.02,0.27,$165.37,Add,7.10%
AKO Capital,ZTS - Zoetis Inc.,2020   Q2,"1,446,794",3.46,0.19,$137.04,Add,5.67%
AKO Capital,ZTS - Zoetis Inc.,2020   Q1,"1,369,150",3.40,0.40,$117.69,Add,13.38%
AKO Capital,ZTS - Zoetis Inc.,2019   Q4,"1,207,618",3.44,1.27,$132.35,Add,58.28%
AKO Capital,ZTS - Zoetis Inc.,2019   Q3,"762,943",2.31,1.39,$124.59,Add,151.70%
AKO Capital,ZTS - Zoetis Inc.,2019   Q2,"303,117",0.87,0.87,$113.49,Buy,undefined
